EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
1,PELECANIFORMES,Threskiornithidae,Thaumatibis gigantea,Giant Ibis,CR,CR,56.62592,7.6135,48.39893,62.937046,6.826561,4.925919,6.672517,6.930488
2,APODIFORMES,Aegothelidae,Aegotheles savesi,New Caledonian Owlet-nightjar,CR,CR,40.260826,13.417248,27.032769,58.426711,6.492502,5.441014,6.105963,6.857333
3,ACCIPITRIFORMES,Cathartidae,Gymnogyps californianus,California Condor,CR,CR,33.390317,9.408465,24.033582,45.925268,6.310364,5.115208,5.992807,6.621145
4,PSITTACIFORMES,Psittacidae,Strigops habroptila,Kakapo,CR,CR,32.371539,7.811276,23.489876,41.985061,6.280292,4.948621,5.970849,6.533441
5,EURYPYGIFORMES,Rhynochetidae,Rhynochetos jubatus,Kagu,EN,EN,55.381864,7.888216,47.531493,65.286544,6.111589,4.264168,5.961654,6.273428
6,OTIDIFORMES,Otididae,Houbaropsis bengalensis,Bengal Florican,CR,CR,24.273878,5.908071,18.47113,32.019439,6.00236,4.705279,5.741522,6.269685
7,STRIGIFORMES,Strigidae,Heteroglaux blewitti,Forest Owlet,CR,CR,24.084489,4.449844,19.167693,30.030957,5.994838,4.468176,5.776671,6.207574
8,ACCIPITRIFORMES,Accipitridae,Pithecophaga jefferyi,Philippine Eagle,CR,CR,23.637324,3.468386,19.261956,27.687889,5.976851,4.269616,5.781334,6.129064
9,SULIFORMES,Fregatidae,Fregata andrewsi,Christmas Island Frigatebird,CR,CR,22.678181,8.728537,16.1323,38.155539,5.9371427134,5.0476522474,5.6135542929,6.4401306162
10,CUCULIFORMES,Cuculidae,Carpococcyx viridis,Sumatran Ground-cuckoo,CR,CR,21.154447,8.897026,15.17794,35.103455,5.870627,5.064823,5.556237,6.358977
11,CHARADRIIFORMES,Scolopacidae,Eurynorhynchus pygmeus,Spoon-billed Sandpiper,CR,CR,19.729778,3.072839,15.953972,24.193376,5.80416,4.176929,5.603091,5.99917
12,PELECANIFORMES,Threskiornithidae,Geronticus eremita,Northern Bald Ibis,CR,CR,19.508976,6.450431,13.501517,28.555547,5.793451,4.780861,5.446842,6.15886
13,CHARADRIIFORMES,Pedionomidae,Pedionomus torquatus,Plains-wanderer,EN,EN,38.949817,5.317042,32.082012,46.548395,5.767066,3.922693,5.578431,5.94119
14,PROCELLARIIFORMES,Hydrobatidae,Oceanites maorianus,New Zealand Storm-petrel,CR,CR,17.764954,6.213327,13.043085,28.436635,5.70458,4.748519,5.414719,6.154829
