Family,Genus,Species,Common name,GE,ED,EDGE,ED Rank
Struthionidae,Struthio,Struthio camelus,Common Ostrich,LC,40.8186375,3.7333421134,20
Struthionidae,Struthio,Struthio molybdophanes,Somali Ostrich,VU,40.8186375,5.1196364745,20
Rheidae,Rhea,Rhea americana,Greater Rhea,NT,25.6583758333,3.976250572,132
Rheidae,Rhea,Rhea pennata,Lesser Rhea,LC,24.8030966389,3.2504945095,150
Rheidae,Rhea,Rhea tarapacensis,Puna Rhea,NT,25.6583758333,3.976250572,132
Tinamidae,Nothocercus,Nothocercus julius,Tawny-breasted Tinamou,LC,24.4624593852,3.2372051865,162
Tinamidae,Nothocercus,Nothocercus bonapartei,Highland Tinamou,LC,24.5749600101,3.2416137482,157
Tinamidae,Nothocercus,Nothocercus nigrocapillus,Hooded Tinamou,VU,24.8579782604,4.6389135512,148
Tinamidae,Tinamus,Tinamus tao,Grey Tinamou,VU,22.7442524885,4.5536348618,196
Tinamidae,Tinamus,Tinamus solitarius,Solitary Tinamou,NT,22.8213441081,3.8637291706,190
Tinamidae,Tinamus,Tinamus osgoodi,Black Tinamou,VU,22.7543254216,4.554058998,194
Tinamidae,Tinamus,Tinamus major,Great Tinamou,NT,22.5878580938,3.8538792726,203
Tinamidae,Tinamus,Tinamus guttatus,White-throated Tinamou,NT,22.6443135155,3.8562698233,201
Tinamidae,Crypturellus,Crypturellus berlepschi,Berlepsch's Tinamou,LC,19.5965451591,3.025123351,336
Tinamidae,Crypturellus,Crypturellus cinereus,Cinereous Tinamou,LC,19.4925168649,3.0200597885,347
Tinamidae,Crypturellus,Crypturellus ptaritepui,Tepui Tinamou,LC,19.5504044234,3.0228806207,340
Tinamidae,Crypturellus,Crypturellus soui,Little Tinamou,LC,21.9328341431,3.132569689,215
Tinamidae,Crypturellus,Crypturellus obsoletus,Brown Tinamou,LC,21.0112563343,3.0915539741,249
Tinamidae,Crypturellus,Crypturellus undulatus,Undulated Tinamou,LC,21.2095161398,3.100520852,239
Tinamidae,Crypturellus,Crypturellus strigulosus,Brazilian Tinamou,LC,21.3291317145,3.1058921808,230
Tinamidae,Crypturellus,Crypturellus duidae,Grey-legged Tinamou,NT,19.8837842955,3.7321201674,309
Tinamidae,Crypturellus,Crypturellus erythropus,Red-legged Tinamou,LC,19.6376587042,3.0271174993,332
Tinamidae,Crypturellus,Crypturellus noctivagus,Yellow-legged Tinamou,NT,19.798938,3.7280491083,320
Tinamidae,Crypturellus,Crypturellus atrocapillus,Black-capped Tinamou,NT,19.843172,3.7301735932,317
Tinamidae,Crypturellus,Crypturellus occidentalis,Western Thicket Tinamou,LC,20.3265234383,3.0599515299,279
Tinamidae,Crypturellus,Crypturellus cinnamomeus,Eastern Thicket Tinamou,LC,19.6976896066,3.0300220808,325
Tinamidae,Crypturellus,Crypturellus transfasciatus,Pale-browed Tinamou,NT,19.813062,3.7287279509,319
Tinamidae,Crypturellus,Crypturellus boucardi,Slaty-breasted Tinamou,LC,19.6301133111,3.0267518196,333
Tinamidae,Crypturellus,Crypturellus kerriae,Choco Tinamou,VU,19.763925,4.4195114671,321
Tinamidae,Crypturellus,Crypturellus variegatus,Variegated Tinamou,LC,20.476932282,3.066979442,270
Tinamidae,Crypturellus,Crypturellus brevirostris,Rusty Tinamou,LC,19.5848314809,3.0245544687,337
Tinamidae,Crypturellus,Crypturellus bartletti,Bartlett's Tinamou,LC,19.5616569918,3.0234280303,338
Tinamidae,Crypturellus,Crypturellus casiquiare,Barred Tinamou,LC,19.6805746885,3.0291948388,327
Tinamidae,Crypturellus,Crypturellus parvirostris,Small-billed Tinamou,LC,21.1420844157,3.0974800699,245
Tinamidae,Crypturellus,Crypturellus tataupa,Tataupa Tinamou,LC,20.8842683646,3.0857680392,254
Tinamidae,Rhynchotus,Rhynchotus rufescens,Red-winged Tinamou,LC,21.8318252616,3.1281554075,218
Tinamidae,Rhynchotus,Rhynchotus maculicollis,Huayco Tinamou,LC,21.825178056,3.1278642274,219
Tinamidae,Nothoprocta,Nothoprocta taczanowskii,Taczanowski's Tinamou,VU,18.054919,4.3336196446,425
Tinamidae,Nothoprocta,Nothoprocta ornata,Ornate Tinamou,LC,18.026839,2.9458505614,427
Tinamidae,Nothoprocta,Nothoprocta perdicaria,Chilean Tinamou,LC,19.660183,3.0282083213,329
Tinamidae,Nothoprocta,Nothoprocta cinerascens,Brushland Tinamou,LC,19.724966,3.0313390605,322
Tinamidae,Nothoprocta,Nothoprocta pentlandii,Andean Tinamou,LC,18.294241,2.9598066576,405
Tinamidae,Nothoprocta,Nothoprocta curvirostris,Curve-billed Tinamou,LC,18.249307,2.9574750601,407
Tinamidae,Nothura,Nothura boraquira,White-bellied Nothura,LC,20.388154,3.0628372174,277
Tinamidae,Nothura,Nothura minor,Lesser Nothura,VU,20.383574,4.4489174183,278
Tinamidae,Nothura,Nothura darwinii,Darwin's Nothura,LC,20.055868,3.0471792861,294
Tinamidae,Nothura,Nothura maculosa,Spotted Nothura,LC,19.84429,3.0370800498,316
Tinamidae,Nothura,Nothura chacoensis,Chaco Nothura,LC,20.452256,3.0658298147,273
Tinamidae,Taoniscus,Taoniscus nanus,Dwarf Tinamou,VU,24.155264211,4.6113615483,165
Tinamidae,Eudromia,Eudromia elegans,Elegant Crested Tinamou,LC,28.0696785683,3.3696956573,98
Tinamidae,Eudromia,Eudromia formosa,Quebracho Crested Tinamou,LC,28.0039078451,3.3674305742,99
Tinamidae,Tinamotis,Tinamotis pentlandii,Puna Tinamou,LC,31.563435376,3.4831900447,59
Tinamidae,Tinamotis,Tinamotis ingoufi,Patagonian Tinamou,LC,31.3919207862,3.4779090333,60
Casuariidae,Casuarius,Casuarius casuarius,Southern Cassowary,VU,18.81315,4.3726402198,380
Casuariidae,Casuarius,Casuarius bennetti,Dwarf Cassowary,LC,18.774831,2.9844099675,385
Casuariidae,Casuarius,Casuarius unappendiculatus,Northern Cassowary,VU,19.977593,4.4297492292,297
Casuariidae,Dromaius,Dromaius novaehollandiae,Common Emu,LC,28.677251,3.3903807927,85
Apterygidae,Apteryx,Apteryx haastii,Great Spotted Kiwi,VU,15.4455637,4.1863501181,660
Apterygidae,Apteryx,Apteryx owenii,Little Spotted Kiwi,NT,15.051888297,3.4689736741,707
Apterygidae,Apteryx,Apteryx mantelli,Northern Brown Kiwi,EN,15.233759,4.8665345045,689
Apterygidae,Apteryx,Apteryx australis,Southern Brown Kiwi,VU,14.87587227,4.1510948505,728
Apterygidae,Apteryx,Apteryx rowi,Rowi,EN,15.4161855,4.8777093106,662
Megapodiidae,Alectura,Alectura lathami,Australian Brush-turkey,LC,15.540656,2.8058213502,654
Megapodiidae,Aepypodius,Aepypodius arfakianus,Wattled Brush-turkey,LC,13.666186,2.685544572,871
Megapodiidae,Aepypodius,Aepypodius bruijnii,Waigeo Brush-turkey,EN,13.666186,4.7649861137,871
Megapodiidae,Talegalla,Talegalla cuvieri,Red-billed Brush-turkey,LC,17.145142,2.8984028665,515
Megapodiidae,Talegalla,Talegalla fuscirostris,Black-billed Brush-turkey,LC,17.017178,2.8913256361,525
Megapodiidae,Talegalla,Talegalla jobiensis,Collared Brush-turkey,LC,16.956688,2.8879626361,547
Megapodiidae,Leipoa,Leipoa ocellata,Malleefowl,VU,29.447306,4.8022918785,76
Megapodiidae,Macrocephalon,Macrocephalon maleo,Maleo,EN,32.45188,5.58954953,52
Megapodiidae,Eulipoa,Eulipoa wallacei,Moluccan Scrubfowl,VU,22.987558,4.5638296404,179
Megapodiidae,Megapodius,Megapodius nicobariensis,Nicobar Scrubfowl,VU,10.099013,3.7931505466,1713
